FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::cross_entropy_loss         0.00%      47.000us         0.09%       2.791ms     930.333us       0.000us         0.00%      15.000us       5.000us             3  
                                        cudaEventRecord         0.09%       2.750ms         0.09%       2.750ms       2.683us       0.000us         0.00%       0.000us       0.000us          1025  
                            aten::flatten_dense_tensors         0.03%     924.000us         0.09%       2.726ms     454.333us       0.000us         0.00%     111.000us      18.500us             6  
                                          MeanBackward0         0.01%     338.000us         0.08%       2.661ms      73.917us       0.000us         0.00%      35.000us       0.972us            36  
                                          IndexBackward         0.00%      49.000us         0.08%       2.652ms     884.000us       0.000us         0.00%      98.000us      32.667us             3  
                                           MulBackward0         0.02%     505.000us         0.08%       2.615ms      36.319us       0.000us         0.00%     223.000us       3.097us            72  
                                          AddmmBackward         0.01%     344.000us         0.08%       2.607ms     217.250us       0.000us         0.00%       9.878ms     823.167us            12  
                                    aten::masked_select         0.01%     436.000us         0.08%       2.559ms     213.250us      38.000us         0.00%     127.000us      10.583us            12  
                                             cudaMalloc         0.08%       2.512ms         0.08%       2.512ms     628.000us       0.000us         0.00%       0.000us       0.000us             4  
                                           aten::narrow         0.03%     885.000us         0.07%       2.216ms       4.646us       0.000us         0.00%       0.000us       0.000us           477  
                                          aten::sigmoid         0.04%       1.304ms         0.07%       2.200ms      29.333us     109.000us         0.01%     109.000us       1.453us            75  
                                             aten::set_         0.07%       2.168ms         0.07%       2.168ms       5.503us       0.000us         0.00%       0.000us       0.000us           394  
                                        aten::transpose         0.04%       1.253ms         0.07%       2.139ms       5.081us       0.000us         0.00%       0.000us       0.000us           421  
                                        nccl:all_reduce         0.00%       0.000us             0       1.982ms      50.821us       0.000us         0.00%       0.000us       0.000us            39  
                                               aten::mm         0.04%       1.125ms         0.06%       1.892ms      78.833us       9.878ms         1.07%       9.878ms     411.583us            24  
                                          aten::maximum         0.03%       1.003ms         0.05%       1.702ms      35.458us     614.000us         0.07%     614.000us      12.792us            48  
                                       IndexPutBackward         0.00%     137.000us         0.05%       1.667ms     138.917us       0.000us         0.00%       3.708ms     309.000us            12  
                                           DivBackward0         0.01%     361.000us         0.05%       1.524ms      39.077us       0.000us         0.00%      37.000us       0.949us            39  
                                             aten::div_         0.03%     839.000us         0.05%       1.507ms      27.907us      73.000us         0.01%      73.000us       1.352us            54  
                                       aten::max_pool2d         0.00%      46.000us         0.05%       1.475ms     245.833us       0.000us         0.00%       1.608ms     268.000us             6  
                          aten::max_pool2d_with_indices         0.04%       1.303ms         0.05%       1.429ms     238.167us       1.608ms         0.17%       1.608ms     268.000us             6  
                                      aten::log_softmax         0.00%      31.000us         0.04%       1.419ms     473.000us       0.000us         0.00%       9.000us       3.000us             3  
                                     aten::_log_softmax         0.04%       1.291ms         0.04%       1.385ms     461.667us       9.000us         0.00%       9.000us       3.000us             3  
                                            AbsBackward         0.01%     197.000us         0.04%       1.348ms      74.889us       0.000us         0.00%     280.000us      15.556us            18  
                                              aten::sgn         0.01%     358.000us         0.04%       1.332ms      37.000us     114.000us         0.01%     228.000us       6.333us            36  
                               RoIAlignFunctionBackward         0.02%     741.000us         0.04%       1.329ms     110.750us      52.762ms         5.70%      53.862ms       4.489ms            12  
                                      aten::nll_loss_nd         0.00%      18.000us         0.04%       1.325ms     441.667us       0.000us         0.00%       6.000us       2.000us             3  
                                         aten::nll_loss         0.00%      34.000us         0.04%       1.307ms     435.667us       0.000us         0.00%       6.000us       2.000us             3  
                                             aten::topk         0.04%       1.233ms         0.04%       1.291ms     430.333us      35.000us         0.00%      35.000us      11.667us             3  
                                 aten::nll_loss_forward         0.04%       1.219ms         0.04%       1.273ms     424.333us       6.000us         0.00%       6.000us       2.000us             3  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.178ms         0.04%       1.178ms       0.757us       0.000us         0.00%       0.000us       0.000us          1556  
                                              aten::neg         0.02%     671.000us         0.04%       1.176ms      26.133us     100.000us         0.01%     100.000us       2.222us            45  
                                              aten::log         0.02%     687.000us         0.04%       1.143ms      23.812us      54.000us         0.01%      54.000us       1.125us            48  
                   BinaryCrossEntropyWithLogitsBackward         0.00%     117.000us         0.04%       1.124ms      74.933us       0.000us         0.00%     113.000us       7.533us            15  
